Squad,GF,GA,Pts,xG,xGA,Season
Manchester City,106,27,100,86.4,22.8,17/18
Manchester Utd,68,28,81,60.3,41.6,17/18
Tottenham,74,36,77,67.1,35,17/18
Liverpool,84,38,75,72.8,34,17/18
Chelsea,62,38,70,57.4,35.3,17/18
Arsenal,74,51,63,68.4,50.6,17/18
Manchester City,95,23,98,82,25.3,18/19
Liverpool,89,22,97,74.7,30.5,18/19
Chelsea,63,39,72,58.2,35,18/19
Tottenham,67,39,71,57.9,45.3,18/19
Arsenal,73,51,70,57.5,54,18/19
Manchester Utd,65,54,66,59.4,48.1,18/19
Liverpool,85,33,99,71.5,40,19/20
Manchester City,102,35,81,93,34.7,19/20
Manchester Utd,66,36,66,59.4,37.4,19/20
Chelsea,69,54,66,66.6,37.9,19/20
Tottenham,61,47,59,46.1,52,19/20
Arsenal,56,48,56,49.2,56.6,19/20
Manchester City,83,32,86,73.3,31.4,20/21
Manchester Utd,73,44,74,60.2,42.2,20/21
Liverpool,68,42,69,72.6,45.3,20/21
Chelsea,58,36,67,64,32.8,20/21
Tottenham,68,45,62,54.5,49.5,20/21
Arsenal,55,39,61,53.5,44.3,20/21